family,subfamily,clade,genus,Consensus estimate,phylogenetic estimate,Spp recognized (The Plant List),Spp studied,Positive reports,Negative reports,GRIN,TRY,Nodulation_clade,Werner et al. 2014,Li et al. 2015,Sprent 2009,Rai et al. 2000,Chaia et al. 2010,Other sources,Ref:other,Comments
Fabaceae,Caesalpinioideae,,Cassia,None,unlikely_Rhizobia,90,123,65,82,ambiguous,Present,None,None,None,None,,,,,
Fabaceae,Caesalpinioideae,,Cenostigma,None,unlikely_Rhizobia,3,3,0,3,None,None,None,None,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Ceratonia,None,unlikely_Rhizobia,2,1,1,1,ambiguous,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Chamaecrista,Rhizobia,likely_Rhizobia,330,62,95,7,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Chidlowia,Rhizobia,likely_Rhizobia,1,1,1,0,Rhizobia,,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Colvillea,unlikely_Rhizobia,unlikely_Rhizobia,1,1,1,0,Rhizobia,,,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Conzattia,None,unlikely_Rhizobia,3,1,0,1,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Cordeauxia,None,unlikely_Rhizobia,1,1,1,0,Rhizobia,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Coulteria,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Delonix,None,unlikely_Rhizobia,11,2,1,2,ambiguous,variable,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Dimorphandra,Rhizobia,likely_Rhizobia,26,12,12,1,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Diptychandra,None,unlikely_Rhizobia,2,1,0,1,None,,,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Erythrophleum,Rhizobia,likely_Rhizobia,10,6,6,0,Rhizobia,Present,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Erythrostemon,None,unlikely_Rhizobia,0,0,0,0,,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Gleditsia,None,unlikely_Rhizobia,15,13,1,19,,Present,None,None,Rhizobia,unlikely_rhizobia,,,None,"McDougall 1921 (nat, 1sp); Bai et al. 1987 (nat, 2spp); Aihua et al. 2006 (nat, 1 sp)",
Fabaceae,Caesalpinioideae,,Guilandina,None,unlikely_Rhizobia,3,1,0,1,,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Guinetia,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,unrecognized,,,,,,,,
Fabaceae,Caesalpinioideae,,Gymnocladus,None,unlikely_Rhizobia,5,3,0,3,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Haematoxylum,None,unlikely_Rhizobia,4,1,0,1,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Heteroflorum,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Hoffmannseggia,None,unlikely_Rhizobia,29,5,0,5,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Jacqueshuberia,unlikely_Rhizobia,unlikely_Rhizobia,7,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Lemurodendron,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,,Lemuropisum,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,,Libidibia,None,unlikely_Rhizobia,2,0,0,0,,,,None,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Lophocarpinia,unlikely_Rhizobia,unlikely_Rhizobia,1,1,1,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Marmaroxylon,None,unlikely_Rhizobia,9,1,0,1,,Present,,,,,,,None,"Moreira et al. 1992 (nat, 1sp)",
Fabaceae,Caesalpinioideae,,Melanoxylon,Rhizobia,likely_Rhizobia,2,1,1,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Mezoneuron,None,unlikely_Rhizobia,1,2,0,2,None,,None,,,unlikely_rhizobia,,,None,"Corby 1990 (nat, 1sp); Diabate et al. 2005 (nat, 1sp)",
Fabaceae,Caesalpinioideae,,Moldenhawera,Rhizobia,likely_Rhizobia,13,1,1,0,Rhizobia,,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Mora,None,unlikely_Rhizobia,7,3,1,3,None,,None,None,None,,,,,,
Fabaceae,Caesalpinioideae,,Moullava,None,unlikely_Rhizobia,1,1,0,1,None,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Pachyelasma,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,,Painteria,unlikely_Rhizobia,unlikely_Rhizobia,4,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,,Parkinsonia,None,unlikely_Rhizobia,9,5,1,5,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Peltophorum,None,unlikely_Rhizobia,10,6,0,7,None,Present,None,Rhizobia,None,unlikely_rhizobia,,,None,"Bai et al. 1987 (nat, 1sp)",
Fabaceae,Caesalpinioideae,,Poincianella,None,unlikely_Rhizobia,1,0,0,0,,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Pomaria,unlikely_Rhizobia,unlikely_Rhizobia,16,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Pterogyne,None,unlikely_Rhizobia,1,1,0,1,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Pterolobium,None,unlikely_Rhizobia,11,2,0,2,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Punjuba,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,,Recordoxylon,Rhizobia,likely_Rhizobia,4,1,1,0,Rhizobia,Present,Rhizobia,,Rhizobia,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Schizolobium,None,unlikely_Rhizobia,2,3,1,5,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Sclerolobium,Rhizobia,unlikely_Rhizobia,41,14,14,4,Rhizobia,Present,unrecognized,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Senna,None,unlikely_Rhizobia,272,60,14,76,None,variable,None,None,None,None,,,,,
Fabaceae,Caesalpinioideae,,Stachyothyrsus,unlikely_Rhizobia,unlikely_Rhizobia,3,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,,Stahlia,None,unlikely_Rhizobia,1,1,0,1,None,,,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Stenodrepanum,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
